"death"	4.6	0.748331477354788
"died"	4.28	1.11427106217473
"war"	4.2	0.894427190999916
"murdered"	4.16	1.13771701226623
"torture"	4.04081632653061	1.35464708369601
"dying"	3.95918367346939	1.24473066791648
"sadness"	3.94	1.36249770642009
"fatal"	3.9	1.20415945787923
"depressed"	3.84	1.15516232625549
"bombing"	3.84	1.25475097130865
"failure"	3.78	1.04479663092872
"saddened"	3.74	1.29321305282618
"tortured"	3.72	1.14960862905599
"loss"	3.66	1.22653984851696
"suffering"	3.6530612244898	1.40771953967188
"hurts"	3.6	1.14891252930761
"unemployment"	3.6	1.35646599662505
"holocaust"	3.54	1.53896068825685
"hurting"	3.52	1.22049170419139
"jail"	3.5	1.3
"lonesome"	3.48	1.36
"killer"	3.42	1.34298175713596
"cryin"	3.4	1.54919333848297
"loneliness"	3.38775510204082	1.32197018291442
"missing"	3.34	1.21012396059247
"poverty"	3.3	1.45945195193264
"violent"	3.3	1.36014705087354
"slaves"	3.3	1.48660687473185
"recession"	3.3	1.2369316876853
"hates"	3.22	1.38982013224734
"damages"	3.18	1.08977061806602
"lies"	3.16	1.00717426496113
"hate"	3.14	1.26506916806948
"desperation"	3.14	1.3857849761056
"forgotten"	3.14	1.40014284985497
"isolated"	3.12	1.25920609909578
"troubles"	3.12	1.45106857177736
"unfortunate"	3.1	1.25299640861417
"killin"	3.1	1.5
"broke"	3.08	1.48108068652589
"betray"	3.08	1.36879509058149
"insecure"	3.0625	1.24843652221489
"infection"	3.06	1.23951603458769
"defeated"	3.06	1.31772531280233
"losers"	3.04	1.21589473228565
"pollution"	3.02	1.4898322053171
"losing"	3	1.34011878852098
"retarded"	3	1.0770329614269
"fought"	2.98	1.17456374880208
"dislike"	2.98	1.0675204916066
"deadly"	2.96	1.38506317545446
"fraud"	2.96	1.29553077925613
"bitch"	2.92	1.36879509058149
"earthquake"	2.92	1.39771241677249
"bleed"	2.9	1.22065556157337
"trapped"	2.89795918367347	1.34384307209423
"resignation"	2.88	1.16
"motherfucker"	2.86	1.37127677731376
"widow"	2.86	1.49679657936541
"screwed"	2.86	1.21671689394041
"difficult"	2.86	1.09562767398419
"monster"	2.85714285714286	1.4142135623731
"negative"	2.84	1.30169120762184
"anger"	2.84	1.25475097130865
"cemetery"	2.84	1.40513344562002
"bury"	2.82	1.3518875692897
"surgery"	2.82	1.29135587658863
"hangover"	2.8	1.13137084989848
"aids"	2.8	1.4560219778561
"burnin"	2.78	1.41830885211931
"prisoners"	2.78	1.2375782803524
"violations"	2.78	1.25363471553719
"suspended"	2.76	1.36469776873856
"guilt"	2.76	1.30476051442401
"allegations"	2.73469387755102	1.10241868049547
"devil"	2.72	1.69752761391384
"accused"	2.72	1.13207773584679
"aching"	2.71428571428571	1.1780301787479
"sinner"	2.7	1.28452325786651
"blind"	2.7	1.36014705087354
"disrespect"	2.7	1.0816653826392
"angry"	2.69387755102041	1.26497691569892
"offensive"	2.68	1.22376468326227
"smoking"	2.68	1.36293800299207
"wrong"	2.68	1.20731106182293
"graves"	2.66	1.35070352039224
"mad"	2.66	1.15948264325086
"fooled"	2.66	1.33581435835972
"scary"	2.64	1.27687117596099
"dread"	2.64	1.41081536708387
"mean"	2.64	1.27687117596099
"mortality"	2.63265306122449	1.2728543779194
"mortal"	2.62	1.27890578229985
"gore"	2.62	1.3548431643552
"argue"	2.6	1.24899959967968
"woe"	2.6	1.4422205101856
"diagnosis"	2.6	1.0770329614269
"crashing"	2.6	1.3856406460551
"rotting"	2.59183673469388	1.21080791626052
"fake"	2.58	1.23434192993676
"whore"	2.58	1.3128594745821
"despise"	2.58	1.20149906367005
"hungry"	2.57142857142857	1.29362644830535
"tensions"	2.56	1.35882302011704
"anxious"	2.55102040816327	1.07021311037771
"wasting"	2.55102040816327	0.991004942218693
"criticized"	2.54	1.16978630527118
"slap"	2.54	1.20349491066643
"monsters"	2.54	1.31468627436358
"confrontation"	2.54	1.15256236273791
"nervous"	2.53061224489796	1.08987999369948
"rob"	2.53061224489796	1.41568532212446
"asshole"	2.53061224489796	1.12670806055855
"guilty"	2.53061224489796	0.991845133079418
"strife"	2.52	1.18726576637247
"penalties"	2.52	1.17029910706622
"omitted"	2.52	1.17029910706622
"no"	2.5	1.18743420870379
"vengeance"	2.5	1.2369316876853
"nigga"	2.5	1.34536240470737
"lack"	2.48979591836735	1.14504164400862
"vietnam"	2.48	1.52630272226711
"tension"	2.46	1.23628475684205
"blues"	2.46	1.28390030765632
"panic"	2.46	1.26822710899902
"temper"	2.44	1.26743836142039
"screamed"	2.44	1.40228385143665
"resigned"	2.42	1.20149906367005
"emergency"	2.42	1.29753612666469
"liability"	2.42	1.04096109437385
"blocked"	2.4	1.16619037896906
"tobacco"	2.4	1.50996688705415
"darkened"	2.4	1.24899959967968
"sucks"	2.4	1.05830052442584
"shatter"	2.4	1.14891252930761
"refused"	2.38	1.18135515404979
"stained"	2.38	1.11157545852722
"old"	2.38	1.14699607671517
"baghdad"	2.36	1.16206712370672
"fuckin"	2.36	1.33805829469422
"torn"	2.34	1.06976632962531
"lowest"	2.34	1.14210332282154
"consequence"	2.34	1.30552671362941
"sting"	2.34	1.14210332282154
"demanded"	2.3265306122449	1.21869376545581
"suck"	2.32	1.12142766151009
"stripped"	2.32	1.24
"smashed"	2.32	1.20731106182293
"deleted"	2.32	1.1737120600897
"opposition"	2.32	1.0476640682967
"erase"	2.32	1.15654658358408
"whack"	2.32	1.12142766151009
"fiend"	2.32	1.25602547744861
"burnt"	2.3	1.3
"ruins"	2.3	1.3
