"war"	4.16	1.00717426496113
"torture"	3.91836734693878	1.15770241662717
"murdered"	3.84	1.13771701226623
"motherfucker"	3.81632653061224	1.2884648259318
"anger"	3.79591836734694	1.26134997064183
"killer"	3.78	1.37535449975634
"angry"	3.73469387755102	1.30580353249358
"fury"	3.63265306122449	1.56092434089575
"bombing"	3.58	1.38693907580686
"killin"	3.5625	1.20599630320053
"tortured"	3.48979591836735	1.3112145636089
"hate"	3.48	1.43164241345386
"died"	3.48	1.43164241345386
"hates"	3.44	1.35882302011704
"whore"	3.42	1.41548578233764
"lies"	3.38775510204082	1.22584958511683
"death"	3.38	1.58606431143255
"slaves"	3.36	1.42492105044455
"asshole"	3.36	1.4388884598884
"holocaust"	3.26530612244898	1.50882452157343
"mad"	3.22448979591837	1.19975007809788
"nigga"	3.2	1.37113092008021
"bitch"	3.16	1.3908270920571
"slap"	3.12244897959184	1.06200912908226
"betray"	3.1	1.31529464379659
"fuckin"	3.1	1.53948043183407
"fraud"	3.08	1.5471263684651
"retarded"	3.04081632653061	1.26101973108371
"disrespect"	3	1.38505138783324
"smoking"	2.98	1.46273716025812
"rob"	2.97959183673469	1.39224962455596
"hurting"	2.96	1.37054733592095
"dislike"	2.96	1.26427845034233
"hangover"	2.93877551020408	1.1140689031801
"unemployment"	2.92	1.48108068652589
"failure"	2.92	1.0740577265678
"recession"	2.91666666666667	1.42643689738531
"devil"	2.9	1.51327459504216
"screwed"	2.87755102040816	1.23936542454604
"burnin"	2.84	1.48808601901906
"vengeance"	2.84	1.33206606442774
"violent"	2.8	1.50996688705415
"poverty"	2.78	1.36073509545392
"monster"	2.77551020408163	1.47448096883171
"argue"	2.77083333333333	1.12248948275202
"fatal"	2.76	1.2419339757008
"complaints"	2.74	1.32378245946983
"dammit"	2.72916666666667	1.09429549888907
"jail"	2.72916666666667	1.42506700622189
"violations"	2.72	1.21720992437624
"broke"	2.71428571428571	1.26168012376112
"opposition"	2.7	1.41774468787578
"demanded"	2.7	0.877496438739212
"infection"	2.68	1.40627166649976
"fake"	2.68	1.31818056426273
"prisoners"	2.68	1.39197701130443
"damages"	2.68	1.44830935921853
"criticized"	2.66	1.39441744108427
"pollution"	2.66	1.39441744108427
"missing"	2.64	1.35292276202302
"losers"	2.64	1.24515059330187
"suffering"	2.63265306122449	1.20701821082622
"shawty"	2.625	1.26861144563653
"accused"	2.62	1.3695254652616
"tobacco"	2.6	1.28062484748657
"trapped"	2.6	1.4
"allegations"	2.58	1.06
"temper"	2.58	1.34298175713596
"ass"	2.58	1.26633328946214
"dying"	2.57142857142857	1.26168012376112
"fought"	2.56	1.13419575030063
"depressed"	2.56	1.47186955943793
"charges"	2.56	1.09836241741968
"despise"	2.56	1.35882302011704
"no"	2.54	1.3886684269472
"negative"	2.54	1.18676029593174
"loss"	2.54	1.44512975196001
"tension"	2.52	1.15308282443197
"refused"	2.52	1.37462722219517
"penalties"	2.52	1.2687001221723
"oppose"	2.52	1.29984614474175
"defeated"	2.52	1.29984614474175
"hurts"	2.5	1.15325625946708
"sucks"	2.5	1.18743420870379
"needles"	2.5	1.25299640861417
"crashing"	2.5	1.34536240470737
"governments"	2.48979591836735	1.49996529183779
"kick"	2.48979591836735	1.29555675494726
"baghdad"	2.48	1.41760361173355
"wrong"	2.46	1.15256236273791
"ich"	2.46	1.22
"difficult"	2.46	1.34476763792114
"resignation"	2.44	1.20266371026983
"panic"	2.44	1.37346277707115
"swear"	2.44	1.23547561691844
"fiend"	2.44	1.31392541645255
"confrontation"	2.42857142857143	1.24539969815448
"training"	2.42	1.26633328946214
"smashed"	2.38775510204082	1.41156052781964
"roughly"	2.38	1.34
"desperation"	2.36734693877551	1.18999018262149
"monsters"	2.36	1.38217220345368
"sinner"	2.3469387755102	1.13481132852717
"deadly"	2.34	1.46437700063884
"blast"	2.34	1.43680200445294
"damn"	2.34	1.06976632962531
"suspended"	2.34	1.19348229982686
"gore"	2.34	1.43680200445294
"racial"	2.34	1.32075735848792
"weapons"	2.3265306122449	1.33076248056336
"excuse"	2.32	1.13912246927185
"suck"	2.32	1.08517279730004
"mean"	2.32	1.37753402861781
"bugs"	2.32	1.39197701130443
"screamed"	2.32	1.27184904764677
"guilty"	2.3125	1.27730592133078
"pirates"	2.30612244897959	1.41715555340875
"fire"	2.3	1.36014705087354
"risk"	2.3	1.33041346956501
"acid"	2.3	1.31529464379659
"earthquake"	2.3	1.40356688476182
"police"	2.28571428571429	1.27775312999988
"govt"	2.28571428571429	1.21218305346265
"tensions"	2.28	1.16687617166519
"kickin"	2.28	1.21720992437624
"sadness"	2.26	1.32378245946983
"deleted"	2.26	1.0919706955775
"losing"	2.24489795918367	1.15229340518311
"lazy"	2.24489795918367	1.25406461189692
"omitted"	2.24	1.19264412127005
"abnormal"	2.22	1.41830885211931
"legislators"	2.22	1.33101465055799
"loneliness"	2.20408163265306	1.36993358749701
"savage"	2.2	1.2
"forgetting"	2.18	1.19482216249951
"dump"	2.18	1.24402572320672
"cant"	2.18	1.19482216249951
"troubles"	2.18	1.14350338871382
"cryin"	2.18	1.22784363825367
"authorities"	2.18	1.27577427470536
"offensive"	2.16326530612245	1.05650441677917
"sentenced"	2.16326530612245	1.40475778688596
"bleed"	2.16	1.15516232625549
"burnt"	2.16	1.28623481526508
"pirate"	2.16	1.37637204272682
"guilt"	2.16	1.18928549978548
"excuses"	2.16	1.31696621065235
"noise"	2.16	1.28623481526508
"liability"	2.16	0.945727233402951
"pistol"	2.14583333333333	1.30686621563018
"wasting"	2.14583333333333	1.11783986877469
