0.18.04.13,1,5.58875,5.76727272727,6.13,0,0,0,6.13,1.38666666667,1.41333333333,1.56666666667,1.31333333333,1.74,2.11306666667
1.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.18.04.13,1,5.2632,5.50142857143,5.33,2.1,3.28666666667,7.06,6.556,1.31616666667,1.18,1.26406666667,1.19006666667,1.53526666667,1.82
5.18.04.13,1,4.72,4.38,4.38,2.52,2.52,0,6.24,0,0,0,0,0,0
6.18.04.13,1,5.45230769231,6.3,7.28,0,0,7.28,7.28,1.14,1.2,1.16,1.16,1.3542,1.58
7.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.18.04.13,2,5.23157894737,5.475,5.08666666667,2.1,2.1,0,6.58,1.1756,1.245,1.236625,1.19755,1.473775,1.77
11.18.04.13,2,4.96857142857,4.68142857143,3.91142857143,2.305,2.604,8.12,7.18,1.692,1.744,2.024,1.84808,1.98,1.93638
12.18.04.13,2,5.196,5.23076923077,5.00666666667,2.84,3.05333333333,8.12,6.96,1.67,1.745,1.635,1.38,1.625,2.046525
13.18.04.13,2,5.22636363636,5.6125,5.784,1.54,1.54,8.1,6.845,1.225,1.271725,1.221425,1.285,1.5218,2.08
14.18.04.13,1,4.99090909091,0,0,0,0,0,0,1.33245,1.4049,1.25225,1.38,1.4079,1.77
15.18.04.13,2,5.16857142857,5.25833333333,4.92571428571,2.34,2.97333333333,0,6.39,1.86183333333,1.77265,1.77626666667,1.5806,1.80298333333,1.88846666667
16.18.04.13,1,4.83428571429,4.22,3.23,2.6,3.23,0,0,1.2512,1.2,1.29325,1.2251,1.51,1.91
17.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.18.04.13,1,5.696,6.435,7.09,0,0,7.62,7.09,1.275,1.35,1.25,1.195,1.6171,1.903175
19.18.04.13,1,5.086,5.175,4.7,2.1,2.1,7.3,7.3,0,0,0,0,0,0
20.18.04.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21.18.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.18.04.13,1,4.995,0,0,0,0,0,0,0,0,0,0,0,0
23.18.04.13,1,5.03333333333,0,0,0,0,0,0,1.2083,1.2,1.14,1.2045,1.46,1.6939
0.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.20.04.13,1,5.88666666667,5.984,6.35,0,0,0,6.35,1.56,1.76,1.26,1.14,1.5,2.14
7.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.20.04.13,1,5.77666666667,6.37142857143,6.628,0,0,7.02,6.628,1.4008,1.41576666667,1.34666666667,1.24213333333,1.7478,2.24
9.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.20.04.13,1,5.0925,4.86,4.86,0,3.34,0,6.38,1.1312,1.2,1.24325,1.1651,1.4371,1.69
12.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.20.04.13,1,4.74,3.88,3.88,1.54,1.54,0,6.22,1.712475,1.736025,2.111625,1.93755,2.05125,1.744475
16.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.20.04.13,1,5.01333333333,4.89,4.46,1.56,2.78,0,6.14,2.35225,2.34,2.78,2.4151,2.44,1.78205
18.20.04.13,1,5.2,5.285,4.988,2.28,2.935,7.2,6.35666666667,1.7266875,1.6331125,1.7025,1.491325,1.8002,1.9165875
19.20.04.13,1,5.06705882353,4.98909090909,4.95714285714,2.1,2.98,7.2,6.44,1.2245,1.2,1.28,1.1702,1.5,2.36
20.20.04.13,1,5.46,5.52,0,0,0,0,0,0,0,0,0,0,0
21.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.20.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13.04.13,2,5.429,5.792,5.9,0,3.86,0,6.41,1.1827,1.20136666667,1.30503333333,1.19006666667,1.49806666667,1.80666666667
1.13.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13.04.13,1,6.14333333333,6.292,7.04,0,0,7.24,7.04,1.26,1.2,1.26,1.46,1.58,2.92
3.13.04.13,2,5.17333333333,0,0,0,0,0,0,0,0,0,0,0,0
4.13.04.13,2,5.44181818182,5.71666666667,6.108,2.68,2.68,8.42,6.965,1.25333333333,1.20666666667,1.31333333333,1.24666666667,1.3914,1.77223333333
5.13.04.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.13.04.13,1,4.998,4.748,4.20666666667,0,3.27,0,6.08,1.78,1.39,1.54835,1.4,1.59785,1.74
